city,pop,lat,lon,country
Berlin,3576873,52.519999999999996,13.405000000000001,Germany
Hamburg,1945532,53.55,10.0,Germany
Munich,1512491,48.1375,11.575,Germany
Cologne,1073096,50.936388888888885,6.952777777777778,Germany
Frankfurt,773068,50.11055555555556,8.682222222222222,Germany
Stuttgart,626275,48.777499999999996,9.18,Germany
Düsseldorf,619477,51.233333333333334,6.783333333333333,Germany
Leipzig,601866,51.34,12.375,Germany
Dortmund,586852,51.513888888888886,7.465277777777778,Germany
Paris,2102650,48.85666666666667,2.352222222222222,France
Madrid,3223334,40.41694444444444,-3.7033333333333336,Spain
Amsterdam,921402,52.37277777777778,4.8936111111111105,Netherlands
Warsaw,1863056,52.230000000000004,21.011111111111113,Poland
Vienna,2002821,48.208333333333336,16.3725,Austria
Zürich,415367,47.37444444444444,8.54111111111111,Switzerland
Prague,1357326,50.087500000000006,14.421388888888888,Czech Republic
